0,1,MeanDecreaseAccuracy,MeanDecreaseGini
sp1_body_col_black,0.00139545423057733,5.32375893539318e-05,0.000725297663109817,6.05683297704398
sp1_body_col_blue,0.000439763966396438,0.00194195217302702,0.00119125007964948,6.19830108090976
sp1_body_col_brown,0.000208477040665814,-0.000305734546685117,-5.05392088684947e-05,2.67498276690065
sp1_body_col_green,-7.39663713809914e-06,-5.32749151832993e-05,-3.00838823608334e-05,0.221337592797913
sp1_body_col_t_pigment,0.00122811119273215,0.00081233708481251,0.00102494057329202,4.28446004221412
sp1_body_col_t_pruinescence,0.000969122920850368,0.00121483821219489,0.00109093158426005,4.25430832624528
sp1_body_col_t_structural,3.44219408183957e-05,0.000236330998497342,0.000135335638746821,0.723346689199053
sp1_body_col_p_plain,0.0214409769964861,0.0636673786206911,0.04253393484686,39.0004195550722
sp1_body_col_p_spotted,0.00191521961852677,0.00657538695827253,0.00425183698620563,10.0495227154572
sp1_body_col_p_striped,0.00116832776376388,0.00326349613528493,0.00222140295990756,8.92699877014876
sp1_fl_mods_flier,0.00228135395665603,0.00217885669135805,0.00222139430434315,7.00861499746976
sp1_fl_mods_percher,0.00341428570360812,0.0019969780926403,0.00272056879081273,6.82977249489165
sp1_aq_hab_ephemeral,0.00192456736456138,0.00756474805479153,0.00475328122543885,9.12519007314693
sp1_aq_hab_lake,0.0586232582705769,0.106998462739864,0.0828338367492076,33.2336848449317
sp1_aq_hab_pond,-1.02002290512419e-05,0.000128667086648398,5.29283908199046e-05,3.9876075872222
sp1_aq_hab_river,0.00596934557974245,0.0108119277845539,0.00840842829800567,13.583635809956
sp1_aq_hab_stream,0.00243346868543864,0.00374157172283783,0.00309790660179339,5.84772987266902
sp1_aq_hab_wetland,0,0,0,0
sp1_all_hab_op_closed,0.0026692469522675,0.00427546588656742,0.00347009359443292,15.7358576827046
sp1_all_hab_op_open,0.0028519194371641,0.00246668446178837,0.00265433945721566,14.5546778099343
sp1_all_hab_op_semi,-0.000420999411091946,0.000811182603660059,0.000190342931992973,7.3913619491029
sp1_body_lengths,0.0438475997263818,0.0732716717117372,0.0585964373006129,151.729650100543
sp1_hindwing_lengths,0.037164004624194,0.0655404803379926,0.0514007023724721,105.800304080362
sp1_has_wing_pigment,0.0105696109931834,0.0203738905325709,0.0154614406595733,21.8421132862312
sp2_body_col_black,0.0049118084864937,0.00299549954558256,0.00395990128694973,9.8165480698523
sp2_body_col_blue,0.00347436414796247,0.00312170614652119,0.00330681917251139,11.4858397498057
sp2_body_col_brown,0.00778249993770412,0.00438289211606437,0.00608211255103227,11.990626012404
sp2_body_col_green,-0.000128041073256676,-1.42068675193051e-05,-7.19840340733855e-05,0.506000837850386
sp2_body_col_t_pigment,0.00126638775293229,0.00065436966165094,0.000965700872784088,3.64747149032823
sp2_body_col_t_pruinescence,0.000565995199355154,-2.79610550828607e-05,0.000271238181368078,2.64406055459831
sp2_body_col_t_structural,0.003450332894119,0.00321809704404663,0.00333122768172041,5.06223168611418
sp2_body_col_p_plain,0.0149169552398825,0.0284514025966184,0.0216885383020612,17.6000149330545
sp2_body_col_p_spotted,0.0102171872604121,0.0188326510403335,0.0145064475406681,14.5104657382878
sp2_body_col_p_striped,0.000702542728334485,0.00227027864591296,0.00148566107829978,6.67530358513301
sp2_fl_mods_flier,0.000943245668520099,0.00117574658352959,0.00106926062453416,4.0765781081745
sp2_fl_mods_percher,0.00140662279378819,0.00140561368683906,0.0014026850103307,4.31011398119037
sp2_aq_hab_ephemeral,0.00384221052858808,0.00622978300669149,0.00505157584707741,11.7685902259321
sp2_aq_hab_lake,0.0111734422298199,0.0247407336943353,0.017979732184493,19.63446323308
sp2_aq_hab_pond,0.000177663983760511,0.00165355592638087,0.000914756577319361,5.83002501136603
sp2_aq_hab_river,0.00813425575816197,0.0161691003674065,0.0121604561045775,15.0563025451463
sp2_aq_hab_stream,0.00318480611511152,0.00947272919634115,0.00632404606154749,12.9248035522898
sp2_aq_hab_wetland,0,0,0,0
sp2_all_hab_op_closed,0.00440841970166159,0.00560359068848834,0.00503455311224807,14.9353219179952
sp2_all_hab_op_open,0.00956878256439249,0.00717027727264871,0.00837772290456974,17.4530502753996
sp2_all_hab_op_semi,0.000732415718117268,0.00335802114010563,0.00204807444941936,11.0123983832786
sp2_body_lengths,0.11685428757206,0.175087095762175,0.146040641587406,198.940279651294
sp2_hindwing_lengths,0.0479202608156273,0.0563537511811353,0.0521670562775517,110.271768485579
sp2_has_wing_pigment,0.0031546152747545,0.0108647154315822,0.00702515532615588,17.3036862788069
