0,1,MeanDecreaseAccuracy,MeanDecreaseGini
sp1_body_col_black,0.000342525439755787,0.00165193364858801,0.00100685396306407,4.67629412926295
sp1_body_col_blue,0.000191700100111795,0.000770437727682673,0.000480748775278577,3.78555218460369
sp1_body_col_brown,0.000191399073516183,5.57026745740895e-05,0.000118301017434595,2.77369892998552
sp1_body_col_green,7.2463768115942e-06,-5.5387462525707e-07,3.61082857099412e-06,0.179143053394118
sp1_body_col_t_pigment,0.000401597246767491,0.00179588262065283,0.0010930019541123,3.68217477106205
sp1_body_col_t_pruinescence,0.000483314384646663,0.00071339867653139,0.000595727926790358,2.69353104502271
sp1_body_col_t_structural,-0.00016401190200721,0.000899245160463669,0.000373822517085876,1.29645723858668
sp1_body_col_p_plain,0.0322973664076782,0.0496346782625112,0.0409870836840448,25.5126967531706
sp1_body_col_p_spotted,0.00565840803717588,0.00963493515054496,0.00763968101177801,8.79155111198423
sp1_body_col_p_striped,0.00027851246922839,0.00397317148862548,0.00212440133077631,4.94280519030334
sp1_fl_mods_flier,0.0020052083281849,0.00199971764951766,0.00200687837833366,5.40459955802217
sp1_fl_mods_percher,0.00187906631259521,0.00238056261796413,0.00213613898903124,5.12850601953898
sp1_aq_hab_ephemeral,0.00446692941618782,0.016905959752952,0.0106728713584732,13.1079467072345
sp1_aq_hab_lake,0.0104341129083886,0.0284219989382352,0.0194352991701388,13.4324960103914
sp1_aq_hab_pond,0.000262313588223439,0.00197944497203277,0.00112220227961777,3.28427904385868
sp1_aq_hab_river,0.0197509962426738,0.0420730483920562,0.0309628581310196,26.3521103988504
sp1_aq_hab_stream,0.0123207170905198,0.0187946444270642,0.0155562183798547,18.9351010942384
sp1_aq_hab_wetland,0,0,0,0
sp1_all_hab_op_closed,0.00228790640010044,0.0216493044352303,0.0119418425668241,13.4844613964601
sp1_all_hab_op_open,0.00111931162988606,0.015659076533574,0.00841290399651065,14.4842445718954
sp1_all_hab_op_semi,0.000651726637213569,0.00117430755795763,0.000905634671795609,6.06656956658068
sp1_body_lengths,0.0163300929289714,0.0562381596908366,0.0363477182448005,86.8674653817084
sp1_hindwing_lengths,0.0199029001918884,0.0655623359320422,0.0427895866771739,86.2190082889491
sp1_has_wing_pigment,0.00484876510800747,0.0152628217463226,0.0100685415983244,14.4763704021958
sp2_body_col_black,0.000580865370463501,0.00754869198556723,0.00407951525813285,9.29377045184181
sp2_body_col_blue,0.00140371735786357,0.00533210941433592,0.00336984314768622,8.65282547030403
sp2_body_col_brown,0.000493733039630578,0.010716148452644,0.00560842778134338,6.49265033578638
sp2_body_col_green,0.000296498127873788,-0.000177907297613506,5.71494740206292e-05,0.738881914876375
sp2_body_col_t_pigment,0.000122897803011709,0.000896776911859379,0.000506180968027976,1.60988626876946
sp2_body_col_t_pruinescence,0.000148323010141494,0.000350351670992124,0.000248322407261423,0.971274227922983
sp2_body_col_t_structural,-0.000166855202990042,0.00159813182796527,0.000726303510547841,1.57153752507104
sp2_body_col_p_plain,0.0122918394216589,0.0317097200244753,0.022055546564175,14.5138705889615
sp2_body_col_p_spotted,0.00516927476029524,0.0154880792471208,0.0103188541807122,9.33739617715627
sp2_body_col_p_striped,0.000477102867938718,0.00228212916138075,0.00137947926368296,3.78414976800579
sp2_fl_mods_flier,-8.58522668493514e-05,0.00193473557408691,0.000919747200947935,2.70446540667335
sp2_fl_mods_percher,0.000784214792834842,0.00188428129333006,0.00133503145813691,2.74221530046482
sp2_aq_hab_ephemeral,0.000274583399599734,0.00279789483994665,0.00153335249952933,4.66117008040094
sp2_aq_hab_lake,0.0115676119558069,0.0336624563558334,0.0226669088622679,18.7861458343241
sp2_aq_hab_pond,0.00133875555227984,0.00372672630015753,0.00253713835622295,5.40840150256727
sp2_aq_hab_river,0.00915474431946908,0.0119010756115795,0.0105316943361395,11.436319053178
sp2_aq_hab_stream,0.016766474939483,0.01798382567575,0.0173989092029213,19.3227433579331
sp2_aq_hab_wetland,0,0,0,0
sp2_all_hab_op_closed,0.00237912571474546,0.0102917409465779,0.00631250167656026,11.758083839869
sp2_all_hab_op_open,0.000721046637291505,0.0139922180378923,0.007369332604302,14.3854415067271
sp2_all_hab_op_semi,0.000438538184590291,0.0044672262692313,0.00247143846525805,6.97081041828311
sp2_body_lengths,0.0570372042503849,0.124801385642675,0.0909274034489167,109.521544987308
sp2_hindwing_lengths,0.0340257330931844,0.0868754102566914,0.0604010664398934,84.3236367930686
sp2_has_wing_pigment,0.00114047166026026,0.00762136035007475,0.00439392279331826,9.91746255010436
