treshold,I,II
0.4,0.23202614379085,0.232843137254902
0.4,0.218137254901961,0.236928104575163
0.4,0.225490196078431,0.240196078431373
0.4,0.231209150326797,0.23937908496732
0.4,0.231209150326797,0.23202614379085
0.4,0.245915032679739,0.263888888888889
0.4,0.235294117647059,0.245098039215686
0.4,0.229575163398693,0.262254901960784
0.4,0.22140522875817,0.223039215686274
0.4,0.229575163398693,0.247549019607843
0.4,0.245915032679739,0.231209150326797
0.4,0.243464052287582,0.217320261437909
0.4,0.222222222222222,0.244281045751634
0.4,0.244281045751634,0.247549019607843
0.4,0.244281045751634,0.254084967320261
0.4,0.236111111111111,0.245915032679739
0.4,0.227124183006536,0.234477124183007
0.4,0.23202614379085,0.253267973856209
0.4,0.236928104575163,0.243464052287582
0.4,0.232843137254902,0.241830065359477
0.4,0.223856209150327,0.233660130718954
0.4,0.213235294117647,0.226307189542484
0.4,0.22875816993464,0.241830065359477
0.4,0.241830065359477,0.241830065359477
0.4,0.23937908496732,0.234477124183007
0.4,0.234477124183007,0.235294117647059
0.4,0.23937908496732,0.237745098039216
0.4,0.232843137254902,0.245915032679739
0.4,0.235294117647059,0.249183006535948
0.4,0.236928104575163,0.234477124183007
0.4,0.235294117647059,0.250816993464052
0.4,0.234477124183007,0.234477124183007
0.4,0.235294117647059,0.243464052287582
0.4,0.242647058823529,0.236928104575163
0.4,0.199346405228758,0.225490196078431
0.4,0.23937908496732,0.247549019607843
0.4,0.231209150326797,0.222222222222222
0.4,0.23937908496732,0.248366013071895
0.4,0.227941176470588,0.237745098039216
0.4,0.243464052287582,0.235294117647059
0.4,0.225490196078431,0.219771241830065
0.4,0.236111111111111,0.236111111111111
0.4,0.222222222222222,0.23937908496732
0.4,0.213235294117647,0.237745098039216
0.4,0.243464052287582,0.233660130718954
0.4,0.240196078431373,0.250816993464052
0.4,0.216503267973856,0.245915032679739
0.4,0.23937908496732,0.238562091503268
0.4,0.233660130718954,0.241830065359477
0.4,0.217320261437909,0.262254901960784
0.4,0.223856209150327,0.237745098039216
0.4,0.241830065359477,0.238562091503268
0.4,0.230392156862745,0.257352941176471
0.4,0.231209150326797,0.242647058823529
0.4,0.237745098039216,0.241830065359477
0.4,0.23202614379085,0.252450980392157
0.4,0.227941176470588,0.242647058823529
0.4,0.236928104575163,0.23202614379085
0.4,0.232843137254902,0.257352941176471
0.4,0.23202614379085,0.224673202614379
0.4,0.219771241830065,0.227941176470588
0.4,0.227941176470588,0.245915032679739
0.4,0.238562091503268,0.242647058823529
0.4,0.245098039215686,0.26062091503268
0.4,0.236928104575163,0.244281045751634
0.4,0.237745098039216,0.251633986928105
0.4,0.227941176470588,0.241013071895425
0.4,0.212418300653595,0.223856209150327
0.4,0.23937908496732,0.232843137254902
0.4,0.215686274509804,0.236111111111111
0.4,0.212418300653595,0.227124183006536
0.4,0.22875816993464,0.234477124183007
0.4,0.227124183006536,0.243464052287582
0.4,0.217320261437909,0.238562091503268
0.4,0.206699346405229,0.236928104575163
0.4,0.216503267973856,0.242647058823529
0.4,0.238562091503268,0.237745098039216
0.4,0.229575163398693,0.245098039215686
0.4,0.244281045751634,0.242647058823529
0.4,0.23202614379085,0.248366013071895
0.4,0.238562091503268,0.23202614379085
0.4,0.22875816993464,0.214052287581699
0.4,0.246732026143791,0.234477124183007
0.4,0.247549019607843,0.257352941176471
0.4,0.22140522875817,0.249183006535948
0.4,0.222222222222222,0.240196078431373
0.4,0.232843137254902,0.22875816993464
0.4,0.241830065359477,0.246732026143791
0.4,0.213235294117647,0.218954248366013
0.4,0.235294117647059,0.240196078431373
0.4,0.25,0.237745098039216
0.4,0.23202614379085,0.231209150326797
0.4,0.25,0.23937908496732
0.4,0.232843137254902,0.237745098039216
0.4,0.238562091503268,0.242647058823529
0.4,0.209150326797386,0.237745098039216
0.4,0.231209150326797,0.236111111111111
0.4,0.226307189542484,0.244281045751634
0.4,0.23937908496732,0.250816993464052
0.4,0.227941176470588,0.236928104575163
0.45,0.233382570162482,0.20384047267356
0.45,0.233382570162482,0.229689807976366
0.45,0.242983751846381,0.227474150664697
0.45,0.213441654357459,0.227474150664697
0.45,0.218611521418021,0.211964549483013
0.45,0.232644017725258,0.213441654357459
0.45,0.231905465288035,0.216395864106352
0.45,0.206056129985229,0.215657311669128
0.45,0.230428360413589,0.224519940915805
0.45,0.233382570162482,0.22821270310192
0.45,0.230428360413589,0.206056129985229
0.45,0.226735598227474,0.224519940915805
0.45,0.222304283604136,0.217134416543575
0.45,0.226735598227474,0.216395864106352
0.45,0.216395864106352,0.214180206794682
0.45,0.224519940915805,0.207533234859675
0.45,0.226735598227474,0.214180206794682
0.45,0.224519940915805,0.224519940915805
0.45,0.22082717872969,0.213441654357459
0.45,0.216395864106352,0.231905465288035
0.45,0.210487444608567,0.211964549483013
0.45,0.224519940915805,0.215657311669128
0.45,0.225997045790251,0.219350073855244
0.45,0.227474150664697,0.216395864106352
0.45,0.224519940915805,0.221565731166913
0.45,0.22082717872969,0.221565731166913
0.45,0.226735598227474,0.211964549483013
0.45,0.223781388478582,0.230428360413589
0.45,0.217134416543575,0.230428360413589
0.45,0.235598227474151,0.229689807976366
0.45,0.220088626292467,0.219350073855244
0.45,0.230428360413589,0.219350073855244
0.45,0.228951255539143,0.231905465288035
0.45,0.22082717872969,0.220088626292467
0.45,0.214918759231906,0.206794682422452
0.45,0.222304283604136,0.218611521418021
0.45,0.228951255539143,0.215657311669128
0.45,0.239290989660266,0.228951255539143
0.45,0.221565731166913,0.214180206794682
0.45,0.223042836041359,0.216395864106352
0.45,0.223042836041359,0.209748892171344
0.45,0.231166912850812,0.219350073855244
0.45,0.214918759231906,0.19423929098966
0.45,0.225258493353028,0.204579025110783
0.45,0.222304283604136,0.218611521418021
0.45,0.21122599704579,0.218611521418021
0.45,0.217134416543575,0.228951255539143
0.45,0.232644017725258,0.225258493353028
0.45,0.233382570162482,0.22082717872969
0.45,0.214180206794682,0.21122599704579
0.45,0.219350073855244,0.206056129985229
0.45,0.227474150664697,0.238552437223043
0.45,0.227474150664697,0.220088626292467
0.45,0.220088626292467,0.215657311669128
0.45,0.223042836041359,0.217134416543575
0.45,0.227474150664697,0.217134416543575
0.45,0.220088626292467,0.215657311669128
0.45,0.234121122599705,0.224519940915805
0.45,0.223781388478582,0.20384047267356
0.45,0.225258493353028,0.227474150664697
0.45,0.228951255539143,0.213441654357459
0.45,0.228951255539143,0.225258493353028
0.45,0.211964549483013,0.202363367799114
0.45,0.226735598227474,0.218611521418021
0.45,0.240768094534712,0.208271787296898
0.45,0.228951255539143,0.224519940915805
0.45,0.222304283604136,0.22082717872969
0.45,0.218611521418021,0.206056129985229
0.45,0.230428360413589,0.22082717872969
0.45,0.229689807976366,0.217134416543575
0.45,0.233382570162482,0.230428360413589
0.45,0.241506646971935,0.227474150664697
0.45,0.22821270310192,0.222304283604136
0.45,0.24519940915805,0.224519940915805
0.45,0.223042836041359,0.21122599704579
0.45,0.225997045790251,0.211964549483013
0.45,0.221565731166913,0.214918759231906
0.45,0.214180206794682,0.22821270310192
0.45,0.226735598227474,0.217872968980798
0.45,0.243722304283604,0.225997045790251
0.45,0.219350073855244,0.212703101920236
0.45,0.227474150664697,0.222304283604136
0.45,0.224519940915805,0.223042836041359
0.45,0.244460856720827,0.210487444608567
0.45,0.215657311669128,0.221565731166913
0.45,0.22082717872969,0.223042836041359
0.45,0.226735598227474,0.213441654357459
0.45,0.220088626292467,0.211964549483013
0.45,0.238552437223043,0.212703101920236
0.45,0.227474150664697,0.209010339734121
0.45,0.225258493353028,0.204579025110783
0.45,0.222304283604136,0.226735598227474
0.45,0.225997045790251,0.225997045790251
0.45,0.222304283604136,0.215657311669128
0.45,0.237075332348597,0.234859675036928
0.45,0.24519940915805,0.225258493353028
0.45,0.225258493353028,0.221565731166913
0.45,0.225258493353028,0.214180206794682
0.45,0.240768094534712,0.220088626292467
0.45,0.218611521418021,0.208271787296898
0.5,0.214190981432361,0.203580901856764
0.5,0.217506631299735,0.196949602122016
0.5,0.217506631299735,0.198275862068966
0.5,0.207559681697613,0.189655172413793
0.5,0.213527851458886,0.196286472148541
0.5,0.224801061007958,0.20026525198939
0.5,0.226127320954907,0.194297082228117
0.5,0.226127320954907,0.19893899204244
0.5,0.224801061007958,0.198275862068966
