0,1,MeanDecreaseAccuracy,MeanDecreaseGini
sp1_body_col_black,0.00440465083395853,0.00231077618950394,0.00336069940648573,14.581645338114
sp1_body_col_blue,0.00147087876528209,0.00104451947309231,0.00126375661621328,10.009527921819
sp1_body_col_brown,0.00213975497390373,0.000518741646949211,0.00132911916173738,7.78640753478198
sp1_body_col_green,8.34248357236619e-05,0.000180078297415622,0.000131844079112905,1.03718811052836
sp1_body_col_t_pigment,0.00263885706504984,0.00110167353668976,0.00186983053659971,6.83915946361095
sp1_body_col_t_pruinescence,0.00506274573596167,0.0016219999935872,0.00334099280132534,9.15234969315565
sp1_body_col_t_structural,0.000107980593865147,0.000505596020188223,0.00030561017707481,2.03091349943685
sp1_body_col_p_plain,0.0259301868660551,0.023136381154961,0.0245256376830753,36.9079965946926
sp1_body_col_p_spotted,0.00543807038616034,0.00604384145283741,0.00573284473932392,20.1167005607957
sp1_body_col_p_striped,0.00556634805293467,0.00582139888722454,0.00569470450846846,20.6953847180547
sp1_fl_mods_flier,0.00246010569562419,0.0004740509870571,0.00145884730740653,12.0843627519064
sp1_fl_mods_percher,0.00257975516450606,0.000720489215803185,0.00164645072201639,12.4610243704015
sp1_aq_hab_ephemeral,0.0133847094865905,0.0101462716739413,0.0117681515250234,27.8746457727848
sp1_aq_hab_lake,0.017980278992462,0.0138966609600106,0.0159491228268301,33.2223623548193
sp1_aq_hab_pond,-0.000185100847329645,4.98904965554357e-06,-8.8388923237839e-05,7.24716766623264
sp1_aq_hab_river,0.00437393196432107,0.00528872188974963,0.00482900380417502,17.0212356567569
sp1_aq_hab_stream,0.0341791958866086,0.0170483067768683,0.0256046695968251,27.7170823251481
sp1_aq_hab_wetland,0,0,0,0
sp1_all_hab_op_closed,0.0131338947938445,0.0126735105257632,0.0128895193172931,30.5036207646505
sp1_all_hab_op_open,0.0184378129610539,0.00993272758973254,0.0141756180201757,28.2923530002446
sp1_all_hab_op_semi,0.00042608794270362,0.000518146216474142,0.000473121329359662,14.2715836663075
sp1_body_lengths,0.0565227957376147,0.0490872930319385,0.0527906665785377,224.751478868536
sp1_hindwing_lengths,0.0763554536157014,0.0597296713196237,0.0679964589081721,198.056416652309
sp1_has_wing_pigment,0.0117199252461736,0.010972707511674,0.0113506004511141,30.7068404967883
sp2_body_col_black,0.00486925283693915,0.00339735328997613,0.00413764904328116,19.991778362761
sp2_body_col_blue,0.00480140076940415,0.00227459121219313,0.00353867640606791,16.5510098457323
sp2_body_col_brown,0.00847123646714677,0.00685934797588307,0.00766686869892364,24.4757655282378
sp2_body_col_green,-7.84241337659274e-05,3.2420326156826e-06,-3.68905240614174e-05,0.899725433421006
sp2_body_col_t_pigment,0.00480497022520484,0.00309590246915141,0.00394864096575468,7.63913129203064
sp2_body_col_t_pruinescence,0.00188031731934024,0.00070836992886062,0.001295842921047,5.01875419109861
sp2_body_col_t_structural,0.00374878727471819,0.0028798141040399,0.00331911278059222,7.15362484758214
sp2_body_col_p_plain,0.0392400994448066,0.0339329657131929,0.0365732882597565,42.6619096096613
sp2_body_col_p_spotted,0.0137909441537591,0.0101523018185677,0.0119667832646001,23.9848196803863
sp2_body_col_p_striped,0.00304859541254549,0.00152996175858333,0.00229253191362947,11.4357298554895
sp2_fl_mods_flier,0.00361961067850904,0.000155909670295412,0.00189000090528273,7.90281669719863
sp2_fl_mods_percher,0.00501414519019566,0.000371585382259795,0.00268177260407311,8.13408541753447
sp2_aq_hab_ephemeral,0.00455001920695944,0.00196070801489475,0.00324915289990436,12.2221188621571
sp2_aq_hab_lake,0.0140625302156615,0.00956185999374742,0.0118146577279064,30.3144808070319
sp2_aq_hab_pond,0.00147543894692077,-5.53178554156239e-05,0.000708472158075865,9.6240760292298
sp2_aq_hab_river,0.00676747859760913,0.00465985589145338,0.00571689500458905,13.4326431469616
sp2_aq_hab_stream,0.00525383895627479,0.00212262046536532,0.00369385444796256,17.8513166677541
sp2_aq_hab_wetland,0,0,0,0
sp2_all_hab_op_closed,0.00576512410448887,0.00305166778257137,0.00441945607874168,17.9419350367242
sp2_all_hab_op_open,0.0235724424053681,0.0145654626462011,0.0190648799346592,24.0277802319308
sp2_all_hab_op_semi,0.00142945386748923,0.0016765576159562,0.0015511255536268,13.0932128557922
sp2_body_lengths,0.0897391916828685,0.0733598676609018,0.0815316229414169,206.779271651543
sp2_hindwing_lengths,0.0928288763648197,0.0630566795728498,0.0779317872242559,160.427129192438
sp2_has_wing_pigment,0.0127601127121654,0.019322598313059,0.0160335789418209,32.5902685403981
