treshold,I,II
0.4,0.168989547038328,0.170731707317073
0.4,0.170731707317073,0.171602787456446
0.4,0.18205574912892,0.177700348432056
0.4,0.171602787456446,0.172473867595819
0.4,0.158536585365854,0.158536585365854
0.4,0.160278745644599,0.176829268292683
0.4,0.155052264808362,0.171602787456446
0.4,0.165505226480836,0.174216027874564
0.4,0.160278745644599,0.189024390243902
0.4,0.155052264808362,0.187282229965157
0.4,0.142857142857143,0.178571428571429
0.4,0.171602787456446,0.181184668989547
0.4,0.158536585365854,0.185540069686411
0.4,0.168989547038328,0.189895470383275
0.4,0.17595818815331,0.185540069686411
0.4,0.171602787456446,0.168989547038328
0.4,0.175087108013937,0.163763066202091
0.4,0.165505226480836,0.181184668989547
0.4,0.160278745644599,0.168989547038328
0.4,0.171602787456446,0.172473867595819
0.4,0.157665505226481,0.164634146341463
0.4,0.176829268292683,0.170731707317073
0.4,0.159407665505226,0.17595818815331
0.4,0.178571428571429,0.167247386759582
0.4,0.171602787456446,0.173344947735192
0.4,0.180313588850174,0.1698606271777
0.4,0.184668989547038,0.166376306620209
0.4,0.152439024390244,0.165505226480836
0.4,0.167247386759582,0.183797909407665
0.4,0.170731707317073,0.170731707317073
0.4,0.164634146341463,0.180313588850174
0.4,0.162020905923345,0.170731707317073
0.4,0.163763066202091,0.184668989547038
0.4,0.175087108013937,0.167247386759582
0.4,0.158536585365854,0.178571428571429
0.4,0.161149825783972,0.178571428571429
0.4,0.161149825783972,0.178571428571429
0.4,0.167247386759582,0.175087108013937
0.4,0.158536585365854,0.165505226480836
0.4,0.17595818815331,0.179442508710801
0.4,0.1698606271777,0.191637630662021
0.4,0.158536585365854,0.17595818815331
0.4,0.181184668989547,0.173344947735192
0.4,0.172473867595819,0.165505226480836
0.4,0.164634146341463,0.17595818815331
0.4,0.156794425087108,0.1698606271777
0.4,0.174216027874564,0.178571428571429
0.4,0.164634146341463,0.179442508710801
0.4,0.161149825783972,0.171602787456446
0.4,0.168118466898955,0.1698606271777
0.4,0.163763066202091,0.163763066202091
0.4,0.164634146341463,0.195121951219512
0.4,0.175087108013937,0.170731707317073
0.4,0.1698606271777,0.176829268292683
0.4,0.168118466898955,0.185540069686411
0.4,0.167247386759582,0.1698606271777
0.4,0.163763066202091,0.173344947735192
0.4,0.165505226480836,0.181184668989547
0.4,0.17595818815331,0.180313588850174
0.4,0.15418118466899,0.1698606271777
0.4,0.164634146341463,0.168118466898955
0.4,0.168989547038328,0.176829268292683
0.4,0.155052264808362,0.189895470383275
0.4,0.168118466898955,0.181184668989547
0.4,0.162020905923345,0.168118466898955
0.4,0.168118466898955,0.171602787456446
0.4,0.159407665505226,0.183797909407665
0.4,0.159407665505226,0.183797909407665
0.4,0.168118466898955,0.183797909407665
0.4,0.166376306620209,0.164634146341463
0.4,0.165505226480836,0.163763066202091
0.4,0.174216027874564,0.183797909407665
0.4,0.176829268292683,0.183797909407665
0.4,0.166376306620209,0.174216027874564
0.4,0.158536585365854,0.171602787456446
0.4,0.162020905923345,0.178571428571429
0.4,0.162020905923345,0.163763066202091
0.4,0.157665505226481,0.1698606271777
0.4,0.168989547038328,0.184668989547038
0.4,0.172473867595819,0.175087108013937
0.4,0.175087108013937,0.167247386759582
0.4,0.1698606271777,0.173344947735192
0.4,0.175087108013937,0.181184668989547
0.4,0.153310104529617,0.176829268292683
0.4,0.168989547038328,0.171602787456446
0.4,0.172473867595819,0.181184668989547
0.4,0.162020905923345,0.168989547038328
0.4,0.151567944250871,0.168118466898955
0.4,0.162891986062718,0.181184668989547
0.4,0.171602787456446,0.179442508710801
0.4,0.155923344947735,0.17595818815331
0.4,0.161149825783972,0.176829268292683
0.4,0.159407665505226,0.178571428571429
0.4,0.170731707317073,0.189024390243902
0.4,0.164634146341463,0.195993031358885
0.4,0.156794425087108,0.166376306620209
0.4,0.165505226480836,0.18815331010453
0.4,0.148954703832753,0.174216027874564
0.4,0.176829268292683,0.187282229965157
0.4,0.167247386759582,0.179442508710801
0.45,0.173308619091752,0.166821130676552
0.45,0.177942539388322,0.18628359592215
0.45,0.181649675625579,0.173308619091752
0.45,0.182576459684893,0.187210379981464
0.45,0.171455050973123,0.169601482854495
0.45,0.179796107506951,0.182576459684893
0.45,0.170528266913809,0.173308619091752
0.45,0.180722891566265,0.171455050973123
0.45,0.162187210379982,0.180722891566265
